LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.1684,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-05,101.1182,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-06,101.0977,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-07,101.0847,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-08,101.0485,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-09,100.9835,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-10,100.9053,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-11,100.7761,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2018-12,100.6425,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-01,100.6051,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-02,100.6334,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-03,100.6627,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-04,100.6653,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.6816,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.6774,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.6876,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.6802,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.6664,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.6076,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.5497,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.4615,
